,last_price,previous_price,date,percent_from_previous,action_type,raw.high,raw.low,raw.vol,raw.last,raw.buy,raw.sell,raw.open,raw.date,sma.low_period,sma.high_period,sma.low_previous,sma.low_current,sma.high_previous,sma.high_current,sma.low,sma.high
0,320000.0,320000.0,10/03/2021 20:23:43,0.0,sell,325000.00000000,303000.00000000,338.97941683,320000.00000000,320320.00000000,320413.51999000,314980.00002000,1615418623,7,21,320000.0,320000.0,319971.4443542857,319971.4443542857,0,0
0,320000.0,320000.0,10/03/2021 20:23:44,0.0,sell,325000.00000000,303000.00000000,338.97779255,320000.00000000,320320.01000000,320413.51989000,315000.00000000,1615418625,7,21,320000.0,320000.0,319971.4443542857,319971.4443542857,0,0
0,320413.51999,320000.0,10/03/2021 20:23:46,0.12922499687500022,sell,325000.00000000,303000.00000000,338.97811113,320413.51999000,320320.01010000,320413.51999000,315000.00000000,1615418626,7,21,320000.0,320059.0742842857,319971.4443542857,319991.13578238094,0,0
0,320413.51999,320413.51999,10/03/2021 20:23:47,0.0,sell,325000.00000000,303000.00000000,338.97811113,320413.51999000,320320.01010000,320413.51999000,315000.00000000,1615418627,7,21,320059.0742842857,320118.1485685714,319991.13578238094,320010.82721047616,0,0
0,320413.51999,320413.51999,10/03/2021 20:23:48,0.0,sell,325000.00000000,303000.00000000,338.97811113,320413.51999000,320320.01010000,320413.51999000,315000.00000000,1615418628,7,21,320118.1485685714,320177.22285285714,320010.82721047616,320030.51863857143,0,0
0,320413.51999,320413.51999,10/03/2021 20:23:49,0.0,sell,325000.00000000,303000.00000000,338.97513422,320413.51999000,320320.01010000,320413.51999000,314980.00003000,1615418630,7,21,320177.22285285714,320236.2971371428,320030.51863857143,320050.21006666665,0,0
0,320413.51999,320413.51999,10/03/2021 20:23:51,0.0,sell,325000.00000000,303000.00000000,338.97513422,320413.51999000,320320.01010000,320413.51989000,314980.00003000,1615418631,7,21,320236.2971371428,320295.3714214285,320050.21006666665,320069.90149476187,0,0
0,320413.51999,320413.51999,10/03/2021 20:23:52,0.0,sell,325000.00000000,303000.00000000,338.97513422,320413.51999000,320320.01010000,320413.51988000,314980.00003000,1615418632,7,21,320295.3714214285,320354.4457057142,320069.90149476187,320089.59292285715,0,0
0,320413.51999,320413.51999,10/03/2021 20:23:53,0.0,sell,325000.00000000,303000.00000000,338.96791487,320413.51999000,320320.01010000,320413.51988000,315000.00000000,1615418633,7,21,320354.4457057142,320413.51998999994,320089.59292285715,320116.4232623809,0,0
0,320413.51999,320413.51999,10/03/2021 20:23:54,0.0,sell,325000.00000000,303000.00000000,338.96317764,320413.51999000,320320.01010000,320413.51988000,315000.00000000,1615418635,7,21,320413.51998999994,320413.51998999994,320116.4232623809,320143.25360190467,0,0
0,320413.51988,320413.51999,10/03/2021 20:23:56,-3.433064331693962e-08,sell,325000.00000000,303000.00000000,338.96320884,320413.51988000,320320.01000000,320413.51000000,315000.00000000,1615418636,7,21,320413.51998999994,320413.5199742857,320143.25360190467,320170.08393619035,0,0
0,320413.51988,320413.51988,10/03/2021 20:23:57,0.0,sell,325000.00000000,303000.00000000,338.96320884,320413.51988000,320320.01000000,320413.50990000,315000.00000000,1615418637,7,21,320413.5199742857,320413.5199585714,320170.08393619035,320196.91427047603,0,0
0,320413.51988,320413.51988,10/03/2021 20:23:58,0.0,sell,325000.00000000,303000.00000000,338.96320884,320413.51988000,320320.01010000,320413.50989000,315000.00000000,1615418638,7,21,320413.5199585714,320413.51994285715,320196.91427047603,320216.60569333314,0,0
0,320320.0101,320413.51988,10/03/2021 20:23:59,-0.029184093116602836,sell,325000.00000000,303000.00000000,338.96301399,320320.01010000,320320.01010000,320413.50989000,314980.00003000,1615418640,7,21,320413.51994285715,320400.16138714284,320216.60569333314,320231.84426952363,0,0
0,320320.0101,320320.0101,10/03/2021 20:24:01,0.0,sell,325000.00000000,303000.00000000,338.96245399,320320.01010000,320320.01010000,320413.50989000,315000.00000000,1615418640,7,21,320400.16138714284,320386.8028314286,320231.84426952363,320247.08284571406,0,0
0,320320.0101,320320.0101,10/03/2021 20:24:02,0.0,sell,325000.00000000,303000.00000000,338.96245399,320320.01010000,320320.01010000,320413.50986000,315000.00000000,1615418642,7,21,320386.8028314286,320373.44427571434,320247.08284571406,320262.32142190455,0,0
0,320413.50974,320320.0101,10/03/2021 20:24:03,0.029189447131574793,sell,325000.00000000,303000.00000000,338.96261003,320413.50974000,320320.01010000,320413.50972000,315000.00000000,1615418643,7,21,320373.44427571434,320373.4428114286,320262.32142190455,320282.0123619045,0,0
0,320413.50974,320413.50974,10/03/2021 20:24:04,0.0,sell,325000.00000000,303000.00000000,338.96261003,320413.50974000,320320.01010000,320413.50960000,315000.00000000,1615418644,7,21,320373.4428114286,320373.44136285724,320282.0123619045,320301.7033019045,0,0
0,320413.50974,320413.50974,10/03/2021 20:24:05,0.0,sell,325000.00000000,303000.00000000,338.95708896,320413.50974000,320320.01030000,320413.50959000,315000.00000000,1615418646,7,21,320373.44136285724,320373.4399142858,320301.7033019045,320321.3942419045,0,0
0,320413.50974,320413.50974,10/03/2021 20:24:07,0.0,sell,325000.00000000,303000.00000000,338.95708896,320413.50974000,320320.01040000,320413.50957000,315000.00000000,1615418647,7,21,320373.4399142858,320373.4384657144,320321.3942419045,320341.0851819045,0,0
0,320413.50974,320413.50974,10/03/2021 20:24:08,0.0,sell,325000.00000000,303000.00000000,338.95708896,320413.50974000,320320.01040000,320413.50956000,315000.00000000,1615418648,7,21,320373.4384657144,320386.795557143,320341.0851819045,320360.77612190443,0,0
0,320413.50974,320413.50974,10/03/2021 20:24:09,0.0,sell,325000.00000000,303000.00000000,338.95693023,320413.50974000,320320.01050000,320413.50956000,315000.00000000,1615418649,7,21,320386.795557143,320400.15264857153,320360.77612190443,320380.46706190443,0,0
0,320413.50974,320413.50974,10/03/2021 20:24:10,0.0,sell,325000.00000000,303000.00000000,338.95629531,320413.50974000,320320.01040000,320413.50944000,314980.00006000,1615418651,7,21,320400.15264857153,320413.5097400001,320380.46706190443,320400.15800190443,0,0
0,320413.50974,320413.50974,10/03/2021 20:24:12,0.0,sell,325000.00000000,303000.00000000,338.95629531,320413.50974000,320320.02040000,320413.50942000,314980.00006000,1615418652,7,21,320413.5097400001,320413.5097400001,320400.15800190443,320400.15751380916,0,0
0,320413.5094,320413.50974,10/03/2021 20:24:13,-1.061128877076872e-07,sell,325000.00000000,303000.00000000,338.95663206,320413.50940000,320320.02040000,320413.50939000,314980.00006000,1615418653,7,21,320413.5097400001,320413.5096914287,320400.15751380916,320400.1570095235,0,0
0,320413.5094,320413.5094,10/03/2021 20:24:14,0.0,sell,325000.00000000,303000.00000000,338.95663206,320413.50940000,320320.02040000,320413.50934000,314980.00006000,1615418654,7,21,320413.5096914287,320413.5096428572,320400.1570095235,320400.15650523774,0,0
0,320413.5094,320413.5094,10/03/2021 20:24:15,0.0,sell,325000.00000000,303000.00000000,338.95630706,320413.50940000,320320.02040000,320413.50931000,315000.00000000,1615418656,7,21,320413.5096428572,320413.50959428574,320400.15650523774,320400.156000952,0,0
0,320413.5094,320413.5094,10/03/2021 20:24:17,0.0,sell,325000.00000000,303000.00000000,338.95630706,320413.50940000,320320.02040000,320413.50928000,315000.00000000,1615418657,7,21,320413.50959428574,320413.50954571425,320400.156000952,320400.1554966663,0,0
0,320413.5094,320413.5094,10/03/2021 20:24:18,0.0,sell,325000.00000000,303000.00000000,338.95630706,320413.50940000,320320.02040000,320413.50925000,315000.00000000,1615418658,7,21,320413.50954571425,320413.5094971428,320400.1554966663,320400.1549923806,0,0
0,320320.0204,320413.5094,10/03/2021 20:24:19,-0.029177608701664002,sell,325000.00000000,303000.00000000,338.95692806,320320.02040000,320320.02040000,320413.50922000,315000.00000000,1615418659,7,21,320413.5094971428,320400.15387714276,320400.1549923806,320395.702630952,0,0
0,320320.0204,320320.0204,10/03/2021 20:24:20,0.0,buy,325000.00000000,303000.00000000,338.95687226,320320.02040000,320320.02040000,320413.50921000,314980.00006000,1615418661,7,21,320400.15387714276,320386.7982571427,320395.702630952,320391.2502695234,0,0
0,320320.0204,320320.0204,10/03/2021 20:24:22,0.0,buy,325000.00000000,303000.00000000,338.95672130,320320.02040000,320320.02040000,320413.50921000,315000.00000000,1615418662,7,21,320386.7982571427,320373.4426857141,320391.2502695234,320386.79791333294,0,0
0,320413.50913,320320.0204,10/03/2021 20:24:23,0.029186040224178558,buy,325000.00000000,303000.00000000,338.95682130,320413.50913000,320320.02040000,320413.50913000,315000.00000000,1615418663,7,21,320373.4426857141,320373.44264714274,320386.79791333294,320386.7974014282,0,0
0,320413.50913,320413.50913,10/03/2021 20:24:24,0.0,buy,325000.00000000,303000.00000000,338.95682130,320413.50913000,320320.02040000,320413.50913000,315000.00000000,1615418664,7,21,320373.44264714274,320373.4426085713,320386.7974014282,320386.7968895235,0,0
